type,n,algo,time_us,char_cmp
random,100,std::sort,204.66,1768
random,100,stable_sort,271.83,1493
random,200,std::sort,415.65,3871
random,200,stable_sort,588.47,3901
random,300,std::sort,685.95,6423
random,300,stable_sort,933.07,6198
random,400,std::sort,905.46,9145
random,400,stable_sort,1327.67,8991
random,500,std::sort,1213.71,12314
random,500,stable_sort,1631.41,11576
random,600,std::sort,1536.58,15554
random,600,stable_sort,1997.79,14358
random,700,std::sort,1817.06,18867
random,700,stable_sort,2356.47,17283
random,800,std::sort,2103.73,22105
random,800,stable_sort,2721.96,20133
random,900,std::sort,2482.75,26469
random,900,stable_sort,3076.48,23380
random,1000,std::sort,2716.86,29831
random,1000,stable_sort,3411.89,25881
random,1100,std::sort,3080.28,33937
random,1100,stable_sort,4031.45,29711
random,1200,std::sort,3448.59,38066
random,1200,stable_sort,4417.34,32726
random,1300,std::sort,3746.18,41674
random,1300,stable_sort,4745.71,34805
random,1400,std::sort,4008.07,45204
random,1400,stable_sort,5187.79,38734
random,1500,std::sort,4324.63,49757
random,1500,stable_sort,5524.2,41492
random,1600,std::sort,4663.85,54140
random,1600,stable_sort,5984.35,45862
random,1700,std::sort,5032.12,58669
random,1700,stable_sort,6352.02,48563
random,1800,std::sort,5442.94,63780
random,1800,stable_sort,6793.54,52418
random,1900,std::sort,5816.4,67794
random,1900,stable_sort,7238.43,55921
random,2000,std::sort,6153.38,72061
random,2000,stable_sort,7597.59,58412
random,2100,std::sort,6422.41,75716
random,2100,stable_sort,8049.31,63744
random,2200,std::sort,6878.74,81498
random,2200,stable_sort,8374.38,66074
random,2300,std::sort,7158.64,84675
random,2300,stable_sort,8810.34,69667
random,2400,std::sort,7486.22,89467
random,2400,stable_sort,9265.45,73521
random,2500,std::sort,7854.91,93722
random,2500,stable_sort,9809.57,76747
random,2600,std::sort,8355.77,97752
random,2600,stable_sort,10084.7,80437
random,2700,std::sort,8834.09,105013
random,2700,stable_sort,10596.7,83123
random,2800,std::sort,8914.56,107857
random,2800,stable_sort,11005.2,86952
random,2900,std::sort,9595.74,114227
random,2900,stable_sort,11412.4,89724
random,3000,std::sort,9953.8,119229
random,3000,stable_sort,11741.5,92654
reverse,100,std::sort,135.72,1423
reverse,100,stable_sort,264.76,615
reverse,200,std::sort,293.93,3329
reverse,200,stable_sort,574.58,1426
reverse,300,std::sort,471.45,5855
reverse,300,stable_sort,923.1,2333
reverse,400,std::sort,606.01,7315
reverse,400,stable_sort,1247.28,3280
reverse,500,std::sort,759.92,9081
reverse,500,stable_sort,1565.33,4460
reverse,600,std::sort,961.52,12180
reverse,600,stable_sort,1872.72,5304
reverse,700,std::sort,1138.03,14137
reverse,700,stable_sort,2218.49,6371
reverse,800,std::sort,1282.17,16427
reverse,800,stable_sort,2524.92,7433
reverse,900,std::sort,1449.62,18510
reverse,900,stable_sort,2864.82,8648
reverse,1000,std::sort,1641.93,21088
reverse,1000,stable_sort,3186.8,9862
reverse,1100,std::sort,1840,23973
reverse,1100,stable_sort,3709.7,10890
reverse,1200,std::sort,2011.06,26643
reverse,1200,stable_sort,4052.8,12043
reverse,1300,std::sort,2229.95,29032
reverse,1300,stable_sort,4463.98,12965
reverse,1400,std::sort,2395.52,30717
reverse,1400,stable_sort,4765.94,14193
reverse,1500,std::sort,2573.84,34061
reverse,1500,stable_sort,5107.37,15268
reverse,1600,std::sort,2707.34,35590
reverse,1600,stable_sort,5511.04,16530
reverse,1700,std::sort,2874.32,37922
reverse,1700,stable_sort,5804.89,17670
reverse,1800,std::sort,3130.11,41814
reverse,1800,stable_sort,6182.44,19029
reverse,1900,std::sort,3302.41,43538
reverse,1900,stable_sort,6528.44,20315
reverse,2000,std::sort,3446.71,45911
reverse,2000,stable_sort,6946.05,21627
reverse,2100,std::sort,3613.49,47669
reverse,2100,stable_sort,7288.54,22873
reverse,2200,std::sort,3858.86,51180
reverse,2200,stable_sort,7588.24,23898
reverse,2300,std::sort,4143.44,56737
reverse,2300,stable_sort,8023.79,25061
reverse,2400,std::sort,4261.11,57608
reverse,2400,stable_sort,8356.54,26077
reverse,2500,std::sort,4483.91,61412
reverse,2500,stable_sort,8682.6,27278
reverse,2600,std::sort,4615.13,61941
reverse,2600,stable_sort,9110.52,28467
reverse,2700,std::sort,4890.57,65756
reverse,2700,stable_sort,9470.66,29797
reverse,2800,std::sort,4939.7,66639
reverse,2800,stable_sort,9717.5,30965
reverse,2900,std::sort,5104.29,68868
reverse,2900,stable_sort,10140.5,32336
reverse,3000,std::sort,5426.12,73802
reverse,3000,stable_sort,10460.7,33858
almost,100,std::sort,102.5,1064
almost,100,stable_sort,133.28,681
almost,200,std::sort,229.74,2698
almost,200,stable_sort,322.57,1870
almost,300,std::sort,377.79,4608
almost,300,stable_sort,552.73,2891
almost,400,std::sort,494.34,6167
almost,400,stable_sort,780.92,3916
almost,500,std::sort,612.98,7409
almost,500,stable_sort,936.15,4629
almost,600,std::sort,815.67,10758
almost,600,stable_sort,1095.36,5695
almost,700,std::sort,970.06,12592
almost,700,stable_sort,1394.27,7846
almost,800,std::sort,1116.66,14379
almost,800,stable_sort,1566.06,8457
almost,900,std::sort,1302.48,16776
almost,900,stable_sort,1699.41,10313
almost,1000,std::sort,1357.8,17410
almost,1000,stable_sort,1957.4,11005
almost,1100,std::sort,1625.08,22332
almost,1100,stable_sort,2455.1,13377
almost,1200,std::sort,1766.1,24010
almost,1200,stable_sort,2626.37,14813
almost,1300,std::sort,1879.23,25735
almost,1300,stable_sort,2889.22,16049
almost,1400,std::sort,2028.96,27827
almost,1400,stable_sort,3052.59,16771
almost,1500,std::sort,2212.52,30111
almost,1500,stable_sort,3326.95,18278
almost,1600,std::sort,2313.39,31214
almost,1600,stable_sort,3568.09,19590
almost,1700,std::sort,2562.17,34257
almost,1700,stable_sort,3838.29,21514
almost,1800,std::sort,2638.29,35845
almost,1800,stable_sort,4040.21,22679
almost,1900,std::sort,3276.8,44067
almost,1900,stable_sort,4339.42,24948
almost,2000,std::sort,2982.17,40422
almost,2000,stable_sort,4481.92,25274
almost,2100,std::sort,3240.52,43487
almost,2100,stable_sort,4949.6,29807
almost,2200,std::sort,3602.56,49715
almost,2200,stable_sort,5073.15,29923
almost,2300,std::sort,3631.22,51027
almost,2300,stable_sort,5327.02,32127
almost,2400,std::sort,3882.85,53510
almost,2400,stable_sort,5591.48,32936
almost,2500,std::sort,3910.19,54808
almost,2500,stable_sort,5755.47,33793
almost,2600,std::sort,4100.33,56986
almost,2600,stable_sort,6046.47,36243
almost,2700,std::sort,4644.46,61857
almost,2700,stable_sort,6323.84,36654
almost,2800,std::sort,4663.2,63455
almost,2800,stable_sort,6518.5,38125
almost,2900,std::sort,4754.17,66269
almost,2900,stable_sort,6761.84,38893
almost,3000,std::sort,4931.86,68438
almost,3000,stable_sort,7030.55,41278
