type,n,algo,time_us,char_cmp
random,100,std::sort,377.43,1768
random,100,stable_sort,269.71,1493
random,100,ternary_qs,121.01,416
random,100,lcp_merge,226.01,597
random,100,msd_radix,85.9,200
random,100,radix+qs,85.18,200
random,200,std::sort,444.44,3871
random,200,stable_sort,607.45,3901
random,200,ternary_qs,276,1182
random,200,lcp_merge,508.64,1482
random,200,msd_radix,205.13,400
random,200,radix+qs,205.27,400
random,300,std::sort,716.89,6423
random,300,stable_sort,996.18,6198
random,300,ternary_qs,426.84,1831
random,300,lcp_merge,802.98,2508
random,300,msd_radix,340.02,600
random,300,radix+qs,341.91,600
random,400,std::sort,973.74,9145
random,400,stable_sort,1408.63,8991
random,400,ternary_qs,582.76,2487
random,400,lcp_merge,1133.91,3678
random,400,msd_radix,1519.72,800
random,400,radix+qs,1329.44,814
random,500,std::sort,2142.89,12314
random,500,stable_sort,2016.82,11576
random,500,ternary_qs,1109.29,3344
random,500,lcp_merge,1631.82,4864
random,500,msd_radix,664.53,1000
random,500,radix+qs,654.47,1092
random,600,std::sort,1640.47,15554
random,600,stable_sort,2123.42,14358
random,600,ternary_qs,871.48,3730
random,600,lcp_merge,1792.9,6100
random,600,msd_radix,833.49,1200
random,600,radix+qs,800.49,1425
random,700,std::sort,1941.51,18867
random,700,stable_sort,2514.16,17283
random,700,ternary_qs,1074.27,4653
random,700,lcp_merge,2152.26,7443
random,700,msd_radix,979.4,1466
random,700,radix+qs,938.83,1752
random,800,std::sort,2245.23,22105
random,800,stable_sort,2907.98,20133
random,800,ternary_qs,1304.89,6030
random,800,lcp_merge,2506.61,8798
random,800,msd_radix,1143.02,1770
random,800,radix+qs,1087.72,2240
random,900,std::sort,2695.35,26469
random,900,stable_sort,3320.88,23380
random,900,ternary_qs,1412.34,6918
random,900,lcp_merge,2831.28,10181
random,900,msd_radix,1265.69,2120
random,900,radix+qs,1222.39,2863
random,1000,std::sort,2919.39,29831
random,1000,stable_sort,3620.24,25881
random,1000,ternary_qs,1642.11,8552
random,1000,lcp_merge,3339.85,11602
random,1000,msd_radix,1320.34,2746
random,1000,radix+qs,1415.06,3419
random,1100,std::sort,3402.3,33937
random,1100,stable_sort,4433.67,29711
random,1100,ternary_qs,1812.01,9155
random,1100,lcp_merge,3844.72,13005
random,1100,msd_radix,1558.63,3204
random,1100,radix+qs,1732.3,4016
random,1200,std::sort,3754.84,38066
random,1200,stable_sort,4981.53,32726
random,1200,ternary_qs,2033.83,10315
random,1200,lcp_merge,4069.22,14547
random,1200,msd_radix,1462.18,3920
random,1200,radix+qs,1717.23,4518
random,1300,std::sort,4069.86,41674
random,1300,stable_sort,5113.31,34805
random,1300,ternary_qs,2325.52,12447
random,1300,lcp_merge,4422,16032
random,1300,msd_radix,1494.13,4478
random,1300,radix+qs,1854.93,5082
random,1400,std::sort,4386.76,45204
random,1400,stable_sort,5623.11,38734
random,1400,ternary_qs,2245.65,11773
random,1400,lcp_merge,4804.79,17618
random,1400,msd_radix,1513.99,5062
random,1400,radix+qs,1982.42,5654
random,1500,std::sort,4675.03,49757
random,1500,stable_sort,5909.19,41492
random,1500,ternary_qs,2536.25,13851
random,1500,lcp_merge,5103.28,19189
random,1500,msd_radix,1606.88,5642
random,1500,radix+qs,2143.42,6232
random,1600,std::sort,5032.48,54140
random,1600,stable_sort,6448.52,45862
random,1600,ternary_qs,2831.87,15662
random,1600,lcp_merge,5488.19,20743
random,1600,msd_radix,1586.39,6236
random,1600,radix+qs,2334.42,6783
random,1700,std::sort,5430.86,58669
random,1700,stable_sort,6842.72,48563
random,1700,ternary_qs,3013.36,16956
random,1700,lcp_merge,5879.58,22329
random,1700,msd_radix,1657.57,6772
random,1700,radix+qs,2502.64,7526
random,1800,std::sort,5907.4,63780
random,1800,stable_sort,7357.77,52418
random,1800,ternary_qs,2994.76,16093
random,1800,lcp_merge,6297.81,23908
random,1800,msd_radix,1771.99,7170
random,1800,radix+qs,2669.05,8066
random,1900,std::sort,6257.57,67794
random,1900,stable_sort,7738.64,55921
random,1900,ternary_qs,3271.51,18073
random,1900,lcp_merge,6672.56,25560
random,1900,msd_radix,1859.98,7600
random,1900,radix+qs,2834.38,8612
random,2000,std::sort,7079.38,72061
random,2000,stable_sort,8106.93,58412
random,2000,ternary_qs,3522.48,19422
random,2000,lcp_merge,7051.96,27157
random,2000,msd_radix,1964.36,8000
random,2000,radix+qs,3121.95,9151
random,2100,std::sort,6920.59,75716
random,2100,stable_sort,8671.97,63744
random,2100,ternary_qs,4343.85,25901
random,2100,lcp_merge,7464.02,28843
random,2100,msd_radix,2065.33,8400
random,2100,radix+qs,3173.68,9854
random,2200,std::sort,7421.72,81498
random,2200,stable_sort,8978.75,66074
random,2200,ternary_qs,3823.94,19722
random,2200,lcp_merge,7884.93,30475
random,2200,msd_radix,2169.45,8800
random,2200,radix+qs,3338.73,10416
random,2300,std::sort,7718.81,84675
random,2300,stable_sort,9493.62,69667
random,2300,ternary_qs,4117.84,23196
random,2300,lcp_merge,8337.09,32199
random,2300,msd_radix,2334.51,9200
random,2300,radix+qs,3529.62,11271
random,2400,std::sort,8067.29,89467
random,2400,stable_sort,9966.65,73521
random,2400,ternary_qs,4280.26,24086
random,2400,lcp_merge,8781.55,33892
random,2400,msd_radix,2447.61,9600
random,2400,radix+qs,3756.89,11949
random,2500,std::sort,8457.82,93722
random,2500,stable_sort,10394.5,76747
random,2500,ternary_qs,4295.85,23699
random,2500,lcp_merge,9126.92,35632
random,2500,msd_radix,2505.35,10000
random,2500,radix+qs,3866.96,12602
random,2600,std::sort,8877.08,97752
random,2600,stable_sort,10894.8,80437
random,2600,ternary_qs,4521.57,24650
random,2600,lcp_merge,13880.4,37354
random,2600,msd_radix,2611.6,10400
random,2600,radix+qs,4033.19,13233
random,2700,std::sort,9440.32,105013
random,2700,stable_sort,11281.1,83123
random,2700,ternary_qs,4701.66,26106
random,2700,lcp_merge,9970.84,39070
random,2700,msd_radix,2734.38,10800
random,2700,radix+qs,4226.39,13793
random,2800,std::sort,9591.61,107857
random,2800,stable_sort,11735.8,86952
random,2800,ternary_qs,5118.93,28919
random,2800,lcp_merge,10458.1,40903
random,2800,msd_radix,2930.63,11200
random,2800,radix+qs,4480.38,14336
random,2900,std::sort,10191,114227
random,2900,stable_sort,12132.1,89724
random,2900,ternary_qs,5042.87,27780
random,2900,lcp_merge,10933,42598
random,2900,msd_radix,3014.67,11600
random,2900,radix+qs,4631.03,14935
random,3000,std::sort,10632.4,119229
random,3000,stable_sort,12529.9,92654
random,3000,ternary_qs,5658.57,32802
random,3000,lcp_merge,11345,44411
random,3000,msd_radix,3148.93,12000
random,3000,radix+qs,4804,15572
reverse,100,std::sort,145.14,1423
reverse,100,stable_sort,282.22,615
reverse,100,ternary_qs,168.39,989
reverse,100,lcp_merge,209.78,686
reverse,100,msd_radix,101.68,400
reverse,100,radix+qs,258.05,1475
reverse,200,std::sort,311.09,3329
reverse,200,stable_sort,613.41,1426
reverse,200,ternary_qs,433.79,2943
reverse,200,lcp_merge,469.1,1481
reverse,200,msd_radix,200.23,800
reverse,200,radix+qs,552.34,3400
reverse,300,std::sort,504.99,5855
reverse,300,stable_sort,984.7,2333
reverse,300,ternary_qs,604.43,3788
reverse,300,lcp_merge,751.24,2325
reverse,300,msd_radix,302.87,1200
reverse,300,radix+qs,814.09,4950
reverse,400,std::sort,647.37,7315
reverse,400,stable_sort,1336.08,3280
reverse,400,ternary_qs,885.19,5760
reverse,400,lcp_merge,1035.41,3145
reverse,400,msd_radix,397.96,1600
reverse,400,radix+qs,1112.74,6911
reverse,500,std::sort,810.17,9081
reverse,500,stable_sort,1687.96,4460
reverse,500,ternary_qs,1177.9,7797
reverse,500,lcp_merge,1320.24,3869
reverse,500,msd_radix,504.27,2000
reverse,500,radix+qs,1434.16,8965
reverse,600,std::sort,1072.5,12180
reverse,600,stable_sort,2171.5,5304
reverse,600,ternary_qs,1557.9,10493
reverse,600,lcp_merge,1648.02,4965
reverse,600,msd_radix,601.44,2394
reverse,600,radix+qs,1735.93,10933
reverse,700,std::sort,1213.76,14137
reverse,700,stable_sort,2399.54,6371
reverse,700,ternary_qs,1910.34,13091
reverse,700,lcp_merge,1964.24,5864
reverse,700,msd_radix,707.92,2800
reverse,700,radix+qs,2001.05,12499
reverse,800,std::sort,1385.62,16427
reverse,800,stable_sort,2727.28,7433
reverse,800,ternary_qs,2307.78,16060
reverse,800,lcp_merge,2281.65,6697
reverse,800,msd_radix,810.52,3178
reverse,800,radix+qs,2266.54,14064
reverse,900,std::sort,1565.95,18510
reverse,900,stable_sort,3102.02,8648
reverse,900,ternary_qs,2682.74,18589
reverse,900,lcp_merge,2589.62,7508
reverse,900,msd_radix,901.54,3600
reverse,900,radix+qs,2556.05,15908
reverse,1000,std::sort,1779.61,21088
reverse,1000,stable_sort,3436.39,9862
reverse,1000,ternary_qs,3120.61,21685
reverse,1000,lcp_merge,2908.83,8170
reverse,1000,msd_radix,1026.4,3972
reverse,1000,radix+qs,2825.66,17495
reverse,1100,std::sort,1992.77,23973
reverse,1100,stable_sort,4018.35,10890
reverse,1100,ternary_qs,3604.56,25330
reverse,1100,lcp_merge,3242.12,9332
reverse,1100,msd_radix,1109.02,4400
reverse,1100,radix+qs,3109.97,19304
reverse,1200,std::sort,2176.86,26643
reverse,1200,stable_sort,4394.3,12043
reverse,1200,ternary_qs,4138.18,29423
reverse,1200,lcp_merge,3600.17,10438
reverse,1200,msd_radix,1219.3,4786
reverse,1200,radix+qs,3389.66,20972
reverse,1300,std::sort,2379.41,29032
reverse,1300,stable_sort,4763.65,12965
reverse,1300,ternary_qs,5023.78,33030
reverse,1300,lcp_merge,3921.81,11459
reverse,1300,msd_radix,1315.66,5190
reverse,1300,radix+qs,3618.34,22334
reverse,1400,std::sort,2546.36,30717
reverse,1400,stable_sort,5130.53,14193
reverse,1400,ternary_qs,5358.62,38862
reverse,1400,lcp_merge,4255.35,12385
reverse,1400,msd_radix,1430.66,5600
reverse,1400,radix+qs,3890.1,23912
reverse,1500,std::sort,2771.44,34061
reverse,1500,stable_sort,5477.17,15268
reverse,1500,ternary_qs,5852.29,42258
reverse,1500,lcp_merge,4610.38,13346
reverse,1500,msd_radix,1510.06,6000
reverse,1500,radix+qs,4139.81,25485
reverse,1600,std::sort,2945.99,35590
reverse,1600,stable_sort,5906.65,16530
reverse,1600,ternary_qs,6703.78,46847
reverse,1600,lcp_merge,4987.12,14235
reverse,1600,msd_radix,1650.71,6388
reverse,1600,radix+qs,4460.24,27344
reverse,1700,std::sort,3110.92,37922
reverse,1700,stable_sort,6246.25,17670
reverse,1700,ternary_qs,7048.69,50797
reverse,1700,lcp_merge,5287.5,15213
reverse,1700,msd_radix,1717.56,6800
reverse,1700,radix+qs,4729.43,28873
reverse,1800,std::sort,3375.86,41814
reverse,1800,stable_sort,6640.58,19029
reverse,1800,ternary_qs,7882.62,57481
reverse,1800,lcp_merge,5622.15,15821
reverse,1800,msd_radix,1833.27,7174
reverse,1800,radix+qs,4960.62,30387
reverse,1900,std::sort,3559.02,43538
reverse,1900,stable_sort,7021.88,20315
reverse,1900,ternary_qs,8537.55,61970
reverse,1900,lcp_merge,5971.08,16723
reverse,1900,msd_radix,1928.82,7600
reverse,1900,radix+qs,5234.58,32119
reverse,2000,std::sort,3728.54,45911
reverse,2000,stable_sort,7459.1,21627
reverse,2000,ternary_qs,9976.84,68734
reverse,2000,lcp_merge,6333.32,17348
reverse,2000,msd_radix,2040.88,8000
reverse,2000,radix+qs,5510.55,33663
reverse,2100,std::sort,3879.74,47669
reverse,2100,stable_sort,7794.29,22873
reverse,2100,ternary_qs,10222.8,74768
reverse,2100,lcp_merge,6656.61,18449
reverse,2100,msd_radix,2137.6,8400
reverse,2100,radix+qs,5806.84,35629
reverse,2200,std::sort,4158.37,51180
reverse,2200,stable_sort,8238.87,23898
reverse,2200,ternary_qs,11079,81733
reverse,2200,lcp_merge,7043.27,19756
reverse,2200,msd_radix,2257.24,8800
reverse,2200,radix+qs,6107.59,37621
reverse,2300,std::sort,4480.68,56737
reverse,2300,stable_sort,8560.89,25061
reverse,2300,ternary_qs,11844.7,87018
reverse,2300,lcp_merge,7429.75,20890
reverse,2300,msd_radix,2365.43,9170
reverse,2300,radix+qs,6395.91,39270
reverse,2400,std::sort,4623.46,57608
reverse,2400,stable_sort,9003.84,26077
reverse,2400,ternary_qs,13092.9,95168
reverse,2400,lcp_merge,7950.13,22052
reverse,2400,msd_radix,2479.08,9600
reverse,2400,radix+qs,6703.42,41027
reverse,2500,std::sort,4846.67,61412
reverse,2500,stable_sort,9295.24,27278
reverse,2500,ternary_qs,13659.3,100754
reverse,2500,lcp_merge,8469.05,23073
reverse,2500,msd_radix,2568.17,9970
reverse,2500,radix+qs,6963.95,42645
reverse,2600,std::sort,4985.64,61941
reverse,2600,stable_sort,9676.39,28467
reverse,2600,ternary_qs,15165.2,109057
reverse,2600,lcp_merge,8573.47,24160
reverse,2600,msd_radix,2660.14,10400
reverse,2600,radix+qs,7241.21,44488
reverse,2700,std::sort,5264.98,65756
reverse,2700,stable_sort,10126.9,29797
reverse,2700,ternary_qs,15810.6,117757
reverse,2700,lcp_merge,8939.11,25333
reverse,2700,msd_radix,2785.57,10786
reverse,2700,radix+qs,7540.45,46353
reverse,2800,std::sort,5361.22,66639
reverse,2800,stable_sort,10470.7,30965
reverse,2800,ternary_qs,16822.4,125650
reverse,2800,lcp_merge,9327.63,26207
reverse,2800,msd_radix,2874.78,11200
reverse,2800,radix+qs,7814.97,48018
reverse,2900,std::sort,5548.22,68868
reverse,2900,stable_sort,10870.1,32336
reverse,2900,ternary_qs,17791.5,132461
reverse,2900,lcp_merge,9745.71,27116
reverse,2900,msd_radix,2980.87,11580
reverse,2900,radix+qs,8103.59,49570
reverse,3000,std::sort,5859.48,73802
reverse,3000,stable_sort,11272.5,33858
reverse,3000,ternary_qs,20061.5,142622
reverse,3000,lcp_merge,10211.6,28152
reverse,3000,msd_radix,3113.82,12000
reverse,3000,radix+qs,8379.26,51369
almost,100,std::sort,109.58,1064
almost,100,stable_sort,140.73,681
almost,100,ternary_qs,108.28,585
almost,100,lcp_merge,211.47,655
almost,100,msd_radix,95.8,400
almost,100,radix+qs,151.68,587
almost,200,std::sort,248.76,2698
almost,200,stable_sort,345.38,1870
almost,200,ternary_qs,262.65,1449
almost,200,lcp_merge,479.99,1566
almost,200,msd_radix,197.82,778
almost,200,radix+qs,440.17,1456
almost,300,std::sort,516.54,4608
almost,300,stable_sort,593.77,2891
almost,300,ternary_qs,435.01,2445
almost,300,lcp_merge,777.54,2550
almost,300,msd_radix,290.32,1200
almost,300,radix+qs,480.41,2041
almost,400,std::sort,537.94,6167
almost,400,stable_sort,821.95,3916
almost,400,ternary_qs,680.76,3791
almost,400,lcp_merge,1084.13,3625
almost,400,msd_radix,387.8,1576
almost,400,radix+qs,643.56,2782
almost,500,std::sort,653.71,7409
